Comment,Rating,PhoBERT_Text,SVM_Text
"Quá thất vọng về thái độ phục vụ của nhân viên !
Mình sẽ ko bao giờ đến đây lần 2",0,quá thất_vọng về thái_độ phục_vụ của nhân_viên mình sẽ không bao_giờ đến đây lần 2,quá thất_vọng thái_độ phục_vụ nhân_viên không 2
lần đầu tổ chức tiệc tại nhà hàng của bạn mình thấy đồ ăn của bạn làm rất là ngon món Âu rất hợp khẩu vị. trang trí tiệc sinh nhật lãng mạn của người yêu mình rất  đẹp Cảm ơn các bạn nhé,1,lần đầu tổ_chức tiệc tại nhà_hàng của bạn mình thấy đồ ăn của bạn làm rất là ngon món âu rất hợp_khẩu_vị trang_trí tiệc sinh_nhật lãng_mạn của người_yêu mình rất đẹp cảm_ơn các bạn nhé,đầu tổ_chức tiệc nhà_hàng đồ rất ngon món âu rất hợp_khẩu_vị trang_trí tiệc sinh_nhật lãng_mạn người_yêu rất đẹp
"Cơm tấm thì nát, nấu không biết nấu. Nói chung không nên ăn ở đây. Chất lượng cực tệ. Hình như sườn nướng còn để từ hôm qua rồi cơ",0,cơm tấm thì nát nấu không biết nấu nói_chung không nên ăn_ở đây chất_lượng cực tệ hình_như sườn nướng còn để từ hôm_qua rồi cơ,cơm nát nấu không nấu không ăn_ở chất_lượng cực tệ hình_như sườn nướng hôm_qua
"Đợt cuối tháng 9 có ghé Time hop lớp chia tay bạn đi du học và cực thích không gian của Time coffe. Đồ uống tạm, giá hợp lý. Mỗi tầng decor mỗi kiểu nhìn thích lắm.
Quán không cho mang đồ ăn ở ngoài vào nhé các bạn chú ý :( chúng mình mua bánh gato mà không được liên hoan cũng hơi hụt hẫng",1,đợt cuối tháng 9 có ghé time hop lớp chia_tay bạn đi du_học và cực thích không_gian của time coffe đồ uống tạm giá hợp_lý mỗi tầng decor mỗi kiểu nhìn thích lắm quán không cho mang đồ ăn_ở ngoài vào nhé các bạn chú_ý chúng_mình mua bánh gato mà không được liên_hoan cũng hơi hụt_hẫng,đợt 9 ghé time hop lớp chia_tay đi du_học cực không_gian time coffe đồ uống tạm giá hợp_lý tầng decor kiểu lắm quán không đồ ăn_ở chú_ý mua bánh gato không liên_hoan hơi hụt_hẫng
"Ăn liên hoan công ty ở đây, cảm thấy rất bình thường luôn, từ lẩu tới mẹt, k có j đặc sắc. Giá cả cũng k rẻ. Ăn để biết chứ k ấn tượng j cả.",0,ăn liên_hoan công_ty ở đây cảm_thấy rất bình_thường luôn từ lẩu tới mẹt không có j đặc_sắc giá_cả cũng không rẻ ăn để biết chứ không ấn_tượng j cả,liên_hoan công_ty rất bình_thường lẩu mẹt không j đặc_sắc giá_cả không rẻ không ấn_tượng j
"Đặt xôi sườn cay mà thất vọng tràn trề cả hình thức cũng như chất lượng. Suất 30k mà đồ ăn quá ít, xôi không mềm và dẻo. Tóm lại là thất vọng, sẽ ko quay lại.",0,đặt xôi sườn cay mà thất_vọng tràn_trề cả hình_thức cũng như chất_lượng suất 30k mà đồ ăn quá ít xôi không mềm và dẻo tóm lại là thất_vọng sẽ không quay lại,xôi sườn cay thất_vọng tràn_trề hình_thức chất_lượng suất 30k đồ quá xôi không mềm dẻo tóm thất_vọng không
"Món ngon chuẩn vị Đà Nẵng
Không gian quán sạch sẽ
Chủ quán thân thiện nhiệt tình
Đặc biệt là mỳ ở đây được nhập từ Đà Nẵng ra nên giá cả là hợp lý và xứng đáng***nào đi ô tô có thể tiện rửa xe bên đó ăn xong rồi lấy xe nhé",1,món ngon chuẩn vị đà_nẵng không_gian quán sạch_sẽ chủ quán thân_thiện nhiệt_tình đặc_biệt là mỳ ở đây được nhập từ đà_nẵng ra nên giá_cả là hợp_lý và xứng_đáng nào đi ô_tô có_thể tiện rửa xe bên đó ăn xong rồi lấy xe nhé,món ngon chuẩn vị đà_nẵng không_gian quán sạch_sẽ chủ quán thân_thiện nhiệt_tình mỳ nhập đà_nẵng giá_cả hợp_lý xứng_đáng đi ô_tô tiện rửa xe xong xe
"Cơ sở 2 của Cine hơi khó tìm nhưng đến rồi thì mọi thứ đều ok. View hướng ra Hồ Đắc Di cực đẹp. Đồ ăn ngon, mình bị thích món pizza ở đây. Phòng phim thì thoải mái, chất lượng phim tốt. Nhân viên rất thân thiện. Nói chung là mình cực kết quán này, sẽ rủ thêm bạn bè đi cùng ❤",1,cơ_sở 2 của cine hơi khó tìm nhưng đến rồi thì mọi thứ đều ok view hướng ra hồ đắc di_cực đẹp đồ ăn ngon mình bị thích món pizza ở đây phòng phim thì thoải_mái chất_lượng phim tốt nhân_viên rất thân_thiện nói_chung là mình cực kết quán này sẽ rủ thêm bạn_bè đi cùng,cơ_sở 2 cine hơi nhưng ok view hướng hồ đắc di_cực đẹp đồ ngon món pizza phòng phim thoải_mái chất_lượng phim nhân_viên rất thân_thiện cực kết quán rủ bạn_bè đi
"Hôm qua mình đi loanh quanh vào ngõ 94 Trần Đại Nghĩa thấy quán khai trương nên ghé ăn thử. Mình ăn tào phớ trứng và tào phớ caramel cốt dừa thấy khá ngon, tào phớ trứng không bị tanh tí nào luôn. Anh chủ đẹp trai phết kb có người yêu chưa nhỉ ??",1,hôm_qua mình đi loanh_quanh vào ngõ 94 trần đại_nghĩa thấy quán khai_trương nên ghé ăn thử mình ăn tào_phớ trứng và tào_phớ caramel cốt dừa thấy khá ngon tào_phớ trứng không bị tanh tí nào luôn anh chủ đẹp_trai phết kb có người_yêu chưa nhỉ,hôm_qua đi loanh_quanh ngõ 94 trần đại_nghĩa quán khai_trương ghé thử tào_phớ trứng tào_phớ caramel cốt dừa ngon tào_phớ trứng không tí chủ đẹp_trai phết kb người_yêu chưa
"Thịt xiên - Ngõ 54 Hoa Bằng
Mới khám phá được hàng thịt xiên giá rẻ mà xiên thịt to đùng ở gần nhà nè. Xiên thịt ở đây dùng hẳn xiên sắt hẳn hoi chứ không phải xiên que đâu, mà 1 xiên có mỗi 10k. Thịt xiên ở đây dù là thịt miếng nhưng vẫn mềm lắm, nướng cháy xém, thịt vẫn còn giữ được vị ngọt của gia vị ướp.   Được cái ở đây ướp vừa miệng, thịt là thịt nạc, thi thoảng có tí dắt mỡ thôi nên t thích. Quán còn có cả bánh mì ăn kèm thịt xiên nữa, bánh mì 2k thôi nhé.",1,thịt xiên ngõ 54 hoa bằng mới khám_phá được hàng thịt xiên giá rẻ mà xiên thịt to_đùng ở gần nhà nè xiên thịt ở đây dùng hẳn xiên sắt hẳn_hoi chứ không phải xiên que đâu mà 1 xiên có mỗi 10k thịt xiên ở đây dù là thịt miếng nhưng vẫn mềm lắm nướng cháy xém thịt vẫn còn giữ được vị ngọt của gia_vị ướp được cái ở đây ướp vừa_miệng thịt là thịt nạc thi_thoảng có tí dắt mỡ thôi nên t thích quán còn có cả bánh_mì ăn kèm thịt xiên nữa bánh_mì 2k thôi nhé,thịt xiên ngõ 54 hoa khám_phá hàng thịt xiên giá rẻ xiên thịt to_đùng nè xiên thịt hẳn xiên sắt hẳn_hoi không xiên que 1 xiên 10k thịt xiên thịt miếng nhưng mềm lắm nướng cháy xém thịt vị gia_vị ướp ướp vừa_miệng thịt thịt nạc tí dắt mỡ t quán bánh_mì kèm thịt xiên bánh_mì 2k
