Comment,Rating,PhoBERT_Text,SVM_Text
"Ngay g?n nhà nên lúc nào lên con thèm trà s?a s? phi ngay ra 
Giá c? cung siêu h?p lý, t?m 35k là có m?t c?c trà s?a, mình hay u?ng trà s?a hon nhung hôm nào thích ki?u mát mát heathy thì mua trà hoa qu? , trà táo này cung d? u?ng l?m mát mát hoi chua chua 
Gi? quán còn bán thêm c? bánh tráng tr?n hình nhu 20k m?t su?t mình chua an th? hôm nào s? th? 
Quán này th?y b?o trà là trà t? Vi?t Nam nên cung s? c? g?ng ?ng h? quán thêm",1,ngay g?n nhà nên lúc_nào lên_con thèm trà s?a s? phi ngay ra giá_c? cung siêu h?p_lý t?m 35k là có m?t c?c trà s?a mình hay u?ng trà s?a hon nhung hôm nào thích ki?u mát mát heathy thì mua trà hoa_qu? trà táo này cung d? u?ng l?m mát mát hoi chua chua gi? quán còn bán thêm c? bánh_tráng tr?n hình_nhu 20k m?t su?t mình chua an th? hôm nào s? th? quán này th?y b?o trà là trà t? vi?t nam nên cung s? c?_g?ng ?ng h? quán thêm,thèm trà s?a phi giá_c? siêu h?p_lý t?m 35k c?c trà s?a u?ng trà s?a nhung hôm ki?u mát mát heathy mua trà hoa_qu? trà táo u?ng l?m mát mát hoi chua chua quán bánh_tráng tr?n hình_nhu 20k su?t chua th? hôm th? quán b?o trà trà vi?t nam c?_g?ng ?ng h? quán
Ngon vs s?ch s?,1,ngon v?i s?ch_s?,ngon s?ch_s?
"Th?c s? là mình ung quán này c?c k? luôn ý ?? bún cá v?i bánh da cá d?u ngon dã man, nu?c ng?t ??",1,th?c_s? là mình ung quán này c?c_k? luôn ý bún cá v?i bánh_da cá d?u ngon dã_man nu?c_ng?t,ung quán c?c_k? bún cá bánh_da cá ngon dã_man nu?c_ng?t
"Mình d?t 2 c?c trà s?a trân châu + trân châu den (km 17k) . Ð?t co s? khác toàn là trân chân den . Mà d?t ?  dây l?i cho l?n l?n trân châu, trân châu an b?  c?ng , k dc d?o ki?u nhu chân trâu cu d? t? l?nh r?i cho vào. L?n d?u cung là l?n cu?i .",0,mình d?t 2 c?c trà s?a trân_châu trân_châu den km 17k d?t co_s? khác toàn là trân chân den mà d?t ? dây l?i cho l?n_l?n trân_châu trân_châu an b? c?ng không du?c d?o ki?u nhu chân trâu cu d? t?_l?nh r?i cho vào l?n d?u cung là l?n cu?i,2 c?c trà s?a trân_châu trân_châu den km 17k co_s? toàn trân chân den l?n_l?n trân_châu trân_châu c?ng không d?o ki?u chân trâu cu t?_l?nh d?u
"S?n ph?m ngon, h?p v? (cafe cô hàng xóm hay americano d?a n?p, b?c x?u d?a tuoi...). Nhân viên d? thuong, nhi?t tình.",1,s?n_ph?m ngon h?p v? cafe cô hàng_xóm hay americano d?a n?p b?c x?u d?a tuoi nhân_viên d?_thuong nhi?t_tình,s?n_ph?m ngon h?p v? cafe hàng_xóm americano d?a n?p b?c x?u d?a tuoi nhân_viên d?_thuong nhi?t_tình
"Ð?t com g?o l?t gà xào chua ng?t, du?c 1 lúc bên quán báo h?t g?o l?t d?i thành g?o tr?ng, mình d?ng ý, nhung sau dó thì l?i t? ý g?ch c? don di và thay thành salat gà, không h? báo l?y 1 câu ????",0,d?t com_g?o l?t gà xào chua_ng?t du?c 1 lúc bên quán báo h?t g?o l?t d?i thành g?o tr?ng mình d?ng_ý nhung sau dó thì l?i t?_ý g?ch c? don di và thay thành salat gà không h? báo l?y 1 câu,com_g?o l?t gà xào chua_ng?t 1 quán báo g?o l?t d?i thành g?o tr?ng d?ng_ý nhung g?ch don di thay thành salat gà không h? báo 1 câu
"Em di an v?i b?n (4 ngu?i) và có g?i 2 dia th?p c?m, 2 dia bún d?u không. Ðang an du?c n?a dia thì th?y GIÁN BÒ KH?P TRÊN BÀN. Có 1 s? con bò t? k? bàn lên và có con còn BÒ T? CH? Ð? RAU C?A M?T em ra.

Ð?n lúc b?n em báo cáo l?i và xin d?i vì nhân viên ra gi?t gián và l?m b?m: “Ui l?n r?i, có con gián mà ?m lên” và KHÔNG Ð?N BÙ GÌ H?T. Lúc sau có ra xin l?i và b?o “Vì ch? không ? dây nên không bi?t x? lý nhu nào, h?n các em l?n sau d?n thì anh bù cho”.

B?n em l?p t?c tr? ti?n, ra v? và không quay l?i l?n n?a. Mong m?i ngu?i cân nh?c tru?c khi d?n.",0,em di an v?i b?n 4 ngu?i và có g?i 2 dia th?p_c?m 2 dia bún d?u không dang an du?c n?a dia thì th?y gián bò kh?p trên bàn có 1 s? con bò t? k? bàn lên và có con còn bò t? ch? d? rau c?a m?t em ra d?n lúc b?n em báo_cáo l?i và xin d?i vì nhân_viên ra gi?t gián và l?m_b?m ui l?n r?i có con gián mà ?m lên và không d?n_bù gì h?t lúc sau có ra xin_l?i và b?o vì ch? không ? dây nên không bi?t x?_lý nhu nào h?n các em l?n sau d?n thì anh bù cho b?n em l?p_t?c tr? ti?n ra v? và không quay l?i l?n n?a mong m?i ngu?i cân_nh?c tru?c khi d?n,di 4 g?i 2 dia th?p_c?m 2 dia bún d?u không n?a dia gián bò kh?p bàn 1 bò k? bàn bò ch? rau m?t b?n báo_cáo d?i nhân_viên gi?t gián l?m_b?m ui gián ?m không d?n_bù xin_l?i b?o ch? không không h?n bù b?n l?p_t?c ti?n không mong cân_nh?c
"Su?t steak siêu to kh?ng l? an dã d?i con thèm th?t ?????? 
Không gian quán ngay m?t du?ng d? tìm, nhân viên ph?c v? ngoan ngoãn nhanh nh?n và r?t chuyên nghi?p là m?t di?m c?ng l?n v?i ?n tu?ng d?u tiên c?a mình.

Ð? an du?c ph?c v? nhanh, chu?n v? tuy c?m giác hoi khô c?n thêm s?t.",1,su?t steak siêu to kh?ng_l? an dã d?i con thèm th?t không_gian quán ngay m?t_du?ng d? tìm nhân_viên ph?c_v? ngoan_ngoãn nhanh_nh?n và r?t chuyên_nghi?p là m?t di?m c?ng l?n v?i ?n_tu?ng d?u_tiên c?a mình d? an du?c ph?c_v? nhanh chu?n v? tuy c?m_giác hoi khô c?n thêm s?t,su?t steak siêu to kh?ng_l? d?i thèm th?t không_gian quán m?t_du?ng nhân_viên ph?c_v? ngoan_ngoãn nhanh_nh?n r?t chuyên_nghi?p c?ng ?n_tu?ng d? ph?c_v? chu?n v? c?m_giác hoi khô s?t
m?i ngu?i nên c?n th?n nha,0,m?i ngu?i nên c?n_th?n nha,c?n_th?n nha
"Royaltea này u?ng ngon hon h?n, giá l?i quá r? so v?i hà n?i. C?c trà hoa qu? d?c bi?t, matcha b?c hà , trà xoài kem cheese ngon tuy?t. Quán bán c? d? an v?t khá ngon. Mình dã th? nem chua rán và pizza. Pizza to , ngon mà giá r? b?t ng? ch? 70k. Nói chung là r?t r?t hài lòng.",1,royaltea này u?ng ngon hon h?n giá l?i quá r? so v?i hà_n?i c?c trà hoa_qu? d?c_bi?t matcha b?c_hà trà xoài kem cheese ngon tuy?t quán bán c? d? an v?t khá ngon mình dã th? nem_chua rán và pizza pizza to ngon mà giá r? b?t_ng? ch? 70k nói_chung là r?t r?t hài_lòng,royaltea u?ng ngon h?n giá quá r? hà_n?i c?c trà hoa_qu? matcha b?c_hà trà xoài kem cheese ngon tuy?t quán d? v?t ngon th? nem_chua rán pizza pizza to ngon giá r? 70k r?t r?t hài_lòng
